parent,activity,date,time
s1,09-02-2009,work,5476
s1,09-02-2009,personal_hygiene,1122
s2,10-02-2009,sleep,32091
s2,10-02-2009,bed_to_toilet,125
s3,18-02-2009,bed_to_toilet,36535
s3,18-02-2009,sleep,88
s4,19-02-2009,bed_to_toilet,26414
s4,19-02-2009,sleep,116
s5,23-02-2009,work,8104
s5,23-02-2009,personal_hygiene,2746
s6,25-02-2009,work,4005
s6,25-02-2009,personal_hygiene,274
s7,26-02-2009,work,12269
s7,26-02-2009,personal_hygiene,1626
s8,27-02-2009,bed_to_toilet,34689
s8,27-02-2009,sleep,99
s9,03-03-2009,bed_to_toilet,123
s9,03-03-2009,personal_hygiene,2381
s10,04-03-2009,work,4228
s10,04-03-2009,personal_hygiene,2054
s11,10-03-2009,bed_to_toilet,26971
s11,10-03-2009,sleep,175
s12,24-03-2009,bed_to_toilet,30625
s12,24-03-2009,sleep,98
s13,25-03-2009,bed_to_toilet,29488
s13,25-03-2009,sleep,100
s14,26-03-2009,bed_to_toilet,26834
s14,26-03-2009,sleep,98
s15,27-03-2009,bed_to_toilet,29166
s15,27-03-2009,sleep,80
s16,31-03-2009,bed_to_toilet,29382
s16,31-03-2009,personal_hygiene,107
s16,31-03-2009,sleep,2517
s17,01-04-2009,bed_to_toilet,33458
s17,01-04-2009,sleep,124
s18,02-04-2009,bed_to_toilet,35082
s18,02-04-2009,sleep,102
s19,24-08-2009,personal_hygiene,2654
s19,24-08-2009,bathing,823
s20,25-08-2009,personal_hygiene,2587
s20,25-08-2009,bathing,566
s21,26-08-2009,eating,2077
s21,26-08-2009,watch_tv,1247
s22,28-08-2009,eating,969
s22,28-08-2009,watch_tv,967
s23,28-08-2009,personal_hygiene,1822
s23,28-08-2009,bathing,964
s24,31-08-2009,personal_hygiene,1029
s24,31-08-2009,bathing,382
s25,01-09-2009,eating,1083
s25,01-09-2009,watch_tv,1083
s26,02-09-2009,bed_toilet_transition,33784
s26,02-09-2009,sleep,123
s27,02-09-2009,watch_tv,917
s27,02-09-2009,eating,915
s28,04-09-2009,personal_hygiene,977
s28,04-09-2009,bathing,591
s29,07-09-2009,sleep,25900
s29,07-09-2009,bed_toilet_transition,140
s30,08-09-2009,bed_toilet_transition,10805
s30,08-09-2009,sleep,74
s31,08-09-2009,personal_hygiene,973
s31,08-09-2009,bathing,515
s32,08-09-2009,eating,847
s32,08-09-2009,watch_tv,841
s33,09-09-2009,personal_hygiene,940
s33,09-09-2009,bathing,168
s34,11-09-2009,personal_hygiene,1163
s34,11-09-2009,bathing,915
s35,13-09-2009,eating,5134
s35,13-09-2009,watch_tv,4789
s36,21-09-2009,eating,711
s36,21-09-2009,watch_tv,704
s37,22-09-2009,personal_hygiene,927
s37,22-09-2009,bathing,348
s38,23-09-2009,personal_hygiene,1517
s38,23-09-2009,bathing,1091
s39,24-09-2009,personal_hygiene,2405
s39,24-09-2009,bathing,830
s40,25-09-2009,personal_hygiene,1013
s40,25-09-2009,bathing,404
s41,25-09-2009,watch_tv,156
s41,25-09-2009,enter_home,11
s42,29-09-2009,personal_hygiene,1234
s42,29-09-2009,bathing,428
s43,05-10-2009,bed_toilet_transition,26249
s43,05-10-2009,sleep,113
s44,05-10-2009,personal_hygiene,1020
s44,05-10-2009,bathing,509
s45,07-10-2009,personal_hygiene,569
s45,07-10-2009,bathing,423
s46,08-10-2009,personal_hygiene,1743
s46,08-10-2009,bathing,537
s47,12-10-2009,personal_hygiene,1016
s47,12-10-2009,bathing,685
s48,13-10-2009,personal_hygiene,1878
s48,13-10-2009,bathing,555
s49,14-10-2009,personal_hygiene,1147
s49,14-10-2009,bathing,772
s50,16-10-2009,personal_hygiene,1050
s50,16-10-2009,bathing,515
s51,20-10-2009,personal_hygiene,1341
s51,20-10-2009,bathing,766
s52,21-10-2009,personal_hygiene,1032
s52,21-10-2009,bathing,517
s53,22-10-2009,bed_toilet_transition,10590
s53,22-10-2009,sleep,108
s54,03-11-2009,personal_hygiene,917
s54,03-11-2009,bathing,613
s55,04-11-2009,personal_hygiene,1116
s55,04-11-2009,bathing,763
s56,05-11-2009,personal_hygiene,1103
s56,05-11-2009,bathing,677
s57,06-11-2009,personal_hygiene,1205
s57,06-11-2009,bathing,981
s58,08-11-2009,personal_hygiene,1654
s58,08-11-2009,bathing,1111
s59,09-11-2009,personal_hygiene,1069
s59,09-11-2009,bathing,672
s60,10-11-2009,personal_hygiene,1399
s60,10-11-2009,bathing,543
s61,12-11-2009,personal_hygiene,1447
s61,12-11-2009,bathing,875
s62,14-11-2009,sleep,20646
s62,14-11-2009,bed_toilet_transition,121
s63,16-11-2009,personal_hygiene,1291
s63,16-11-2009,bathing,905
s64,17-11-2009,personal_hygiene,1414
s64,17-11-2009,bathing,852
s65,19-11-2009,sleep,24276
s65,19-11-2009,watch_tv,34
s66,19-11-2009,personal_hygiene,1574
s66,19-11-2009,bathing,974
s67,20-11-2009,personal_hygiene,980
s67,20-11-2009,bathing,681
s68,01-12-2009,personal_hygiene,1400
s68,01-12-2009,bathing,657
s69,02-12-2009,personal_hygiene,1390
s69,02-12-2009,bathing,770
s70,04-12-2009,personal_hygiene,2426
s70,04-12-2009,bathing,1085
s71,06-12-2009,bed_toilet_transition,40066
s71,06-12-2009,sleep,391
s72,08-12-2009,personal_hygiene,1388
s72,08-12-2009,bathing,803
s73,09-12-2009,personal_hygiene,1257
s73,09-12-2009,bathing,735
s74,21-01-2010,personal_hygiene,1393
s74,21-01-2010,bathing,1022
s75,26-01-2010,personal_hygiene,1050
s75,26-01-2010,bathing,919
s76,01-02-2010,sleep,23672
s76,01-02-2010,bed_toilet_transition,210
s77,03-02-2010,work,1462
s77,03-02-2010,personal_hygiene,152
s78,03-02-2010,personal_hygiene,1239
s78,03-02-2010,bathing,1054
s79,10-02-2010,sleep,3154
s79,10-02-2010,work,24443
s80,11-02-2010,personal_hygiene,1245
s80,11-02-2010,bathing,967
s81,17-02-2010,personal_hygiene,830
s81,17-02-2010,bathing,674
s82,18-02-2010,personal_hygiene,1005
s82,18-02-2010,bathing,767
s83,23-02-2010,personal_hygiene,1221
s83,23-02-2010,bathing,1139
s84,01-03-2010,work,825
s84,01-03-2010,personal_hygiene,201
s85,05-03-2010,personal_hygiene,973
s85,05-03-2010,bathing,738
s86,08-03-2010,personal_hygiene,1071
s86,08-03-2010,bathing,751
s87,09-03-2010,personal_hygiene,1286
s87,09-03-2010,bathing,1125
s88,25-03-2010,sleeping_not_in_bed,9527
s88,25-03-2010,watch_tv,11696
s89,29-03-2010,personal_hygiene,1164
s89,29-03-2010,bathing,786
s90,02-04-2010,personal_hygiene,2701
s90,02-04-2010,bathing,1599
s91,05-04-2010,personal_hygiene,1203
s91,05-04-2010,bathing,758
s92,06-04-2010,personal_hygiene,1207
s92,06-04-2010,bathing,861
s93,16-04-2010,personal_hygiene,2171
s93,16-04-2010,bathing,725
